title,yes_votes,yes_percent,no_votes,no_percent,voter_turnout_percent
Volksinitiative «Für die Zukunft unserer Natur und Landschaft (Biodiversitätsinitiative)»,926059,36.96,1579467,63.04,45.19
"Änderung des Bundesgesetzes über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Reform der beruflichen Vorsorge)",810569,32.87,1655513,67.13,45.04
